Run	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[time]	Factor Value Ontology Term[time]	Factor Value[compound]	Factor Value Ontology Term[compound]	Analysed
ERR1413440	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413441	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413442	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413443	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413444	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413445	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	0_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	No
ERR1413446	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413447	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413448	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413449	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		osmium_based_compound		Yes
ERR1413450	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		osmium_based_compound		Yes
ERR1413451	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	4_hour		osmium_based_compound		Yes
ERR1413452	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413453	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413454	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413455	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		osmium_based_compound		Yes
ERR1413456	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		osmium_based_compound		Yes
ERR1413457	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	12_hour		osmium_based_compound		Yes
ERR1413458	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413459	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413460	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413461	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		osmium_based_compound		Yes
ERR1413462	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		osmium_based_compound		Yes
ERR1413463	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	24_hour		osmium_based_compound		Yes
ERR1413464	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413465	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413466	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		control	http://www.ebi.ac.uk/efo/EFO_0001461	Yes
ERR1413467	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		osmium_based_compound		Yes
ERR1413468	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		osmium_based_compound		Yes
ERR1413469	A2780	http://www.ebi.ac.uk/efo/EFO_0006362	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	48_hour		osmium_based_compound		Yes
